FID,OBJECTID_1,OBJECTID_2,OBJECTID,country,name,company,group_comp,group_coun,legal_term,status,province,area_ha,source,last_updat,SHAPE_Leng,gfwid,Shape_Le_1,Shape_Le_2,Shape_Le_3,Shape_Area
29222,29223,29270,29270,IDN,PT.KAHAYAN TERANG ABADI, , , ,75/Kpts-II/00, , ,39376,Indonesia Ministry of Forestry,2014,160446.6162,f18ceb56-d664-41a9-8a4b-1e3df556a47c,1.441284185,1.441284186,1.441284186,0.031774652
29223,29224,29271,29271,IDN,PT.RATU MIRI, , , ,127/Kpts-IV/88, , ,35719,Indonesia Ministry of Forestry,2014,144639.0776,1c0631bd-253a-4b83-9a5f-3455f6c0934f,1.29930212,1.299302117,1.299302117,0.028823982
29224,29225,29272,29272,IDN,KOP.PUTRA DAYAK JAYA, , , ,136/Menhut-II/2006, , ,2,Indonesia Ministry of Forestry,2014,1104.133623,92e071cd-4a43-4090-967d-6c9d0b3de1a0,0.009918579,0.009918577,0.009918577,1.38E-06
29225,29226,29273,29273,IDN,PT.KAHAYAN TERANG ABADI, , , ,75/Kpts-II/00, , ,13,Indonesia Ministry of Forestry,2014,1523.116518,65fbcfcd-af9b-4dc4-bc32-5d25ee1f6802,0.013682351,0.01368235,0.01368235,1.07E-05
29226,29227,29274,29274,IDN,KOP.PUTRA DAYAK JAYA, , , ,136/Menhut-II/2006, , ,2,Indonesia Ministry of Forestry,2014,638.1243774,6873e8f1-1796-47a5-abd9-af05c076a67b,0.005732353,0.005732353,0.005732353,1.39E-06
29227,29228,29275,29275,IDN,PT.KAHAYAN TERANG ABADI, , , ,75/Kpts-II/00, , ,4,Indonesia Ministry of Forestry,2014,1071.835799,e5bcb43e-e96f-497a-ab55-ddaacee3612f,0.00962843,0.00962843,0.00962843,3.57E-06
29228,29229,29276,29276,IDN,PT.KAHAYAN TERANG ABADI, , , ,75/Kpts-II/00, , ,1320,Indonesia Ministry of Forestry,2014,18927.82314,b1443b84-7793-428c-b5b3-2897a483214a,0.170029919,0.17002992,0.17002992,0.00106512
29229,29230,29277,29277,IDN,PT.WANA INTI KAHURIPAN INTIGA, , , ,393/Menhut-II/2005, , ,92236,Indonesia Ministry of Forestry,2014,190341.4975,752b9906-561c-4f61-b9fe-357a7f2e5609,1.709836482,1.709836479,1.709836479,0.074429513
29230,29231,29278,29278,IDN,PT.CENTRAL KALIMANTAN ABADI, , , ,10/Kpts-II/2000, , ,40978,Indonesia Ministry of Forestry,2014,122605.6168,420f9848-2d68-4bc6-8af6-173f3a6df99e,1.10111138,1.101111382,1.101111382,0.03305484
29231,29232,29279,29279,IDN,PT.KARDA TRADES, , , ,76/Kpts-II/2000, , ,92445,Indonesia Ministry of Forestry,2014,151649.9751,0b580ae7-72e8-41d0-bda5-c504ee0fe6d3,1.362030267,1.362030267,1.362030267,0.074572913
29232,29233,29280,29280,IDN,PT.WANA AGUNG ASA UTAMA, , , ,11/Kpts-II/00, , ,41779,Indonesia Ministry of Forestry,2014,114700.3962,99cdcad5-1c46-4801-b623-ef8e583cf29f,1.030176198,1.030176198,1.030176198,0.033702513
29233,29234,29281,29281,IDN,PT.ELBANA ABADI JAYA, , , ,09 Tahun 2002, , ,4223,Indonesia Ministry of Forestry,2014,27702.19473,06f12bde-fa9c-4f58-91c4-35da4547e81a,0.248782558,0.248782557,0.248782557,0.003405832
29234,29235,29282,29282,IDN,PT.AYA YAYANG INDONESIA, , , ,840/Kpts-VI/99, , ,91806,Indonesia Ministry of Forestry,2014,224785.7094,2e7fbb43-0a6d-484b-8a7f-efd7d8ef26ed,2.018761316,2.018761319,2.018761319,0.074055025
